map_id	map_id_hex	map_symbol	map_name_cn	entry_rom_offset	packed_img	packed_pal1	packed_pal2	packed_tiles1	packed_tiles2	packed_tiles3	terrain_info	terrain_map	packed_img_rom_offset	packed_pal1_rom_offset	packed_pal2_rom_offset	packed_tiles1_rom_offset	packed_tiles2_rom_offset	packed_tiles3_rom_offset	terrain_info_rom_offset	terrain_map_rom_offset	width	height	is_interior
0	0x000	MAP_MOTHERS_HILL	母亲之山	0x105EDC	0x0869B730	0x0869F2E0	0x086A0098	0x0869F3D4	0x0869FB80	0x086A0008	0x0811EE68	0x0811EEB0	0x69B730	0x69F2E0	0x6A0098	0x69F3D4	0x69FB80	0x6A0008	0x11EE68	0x11EEB0	128	88	0
1	0x001	MAP_BEACH	海滩	0x105F04	0x086A018C	0x086A3F48	0x086A4E98	0x086A402C	0x086A4950	0x086A4E04	0x0811EE68	0x0811EEB0	0x6A018C	0x6A3F48	0x6A4E98	0x6A402C	0x6A4950	0x6A4E04	0x11EE68	0x11EEB0	128	88	0
2	0x002	MAP_FARM	农场	0x105F2C	0x086FB004	0x086FD19C	0x086FDA8C	0x086FD240	0x086FD7D0	0x086FD9F4	0x08131AD4	0x08131AFC	0x6FB004	0x6FD19C	0x6FDA8C	0x6FD240	0x6FD7D0	0x6FD9F4	0x131AD4	0x131AFC	60	56	0
3	0x003	MAP_FOREST	森林	0x105F54	0x086FDB2C	0x086FFA84	0x08700374	0x086FFB24	0x087000B0	0x087002CC	0x08131AD4	0x08131AFC	0x6FDB2C	0x6FFA84	0x700374	0x6FFB24	0x7000B0	0x7002CC	0x131AD4	0x131AFC	60	56	0
4	0x004	MAP_CHURCH_REAR	教堂后院	0x105F7C	0x086C6920	0x086CB62C	0x086CDEB8	0x086CB760	0x086CC7E0	0x086CD878	0x0812B5A0	0x0812B624	0x6C6920	0x6CB62C	0x6CDEB8	0x6CB760	0x6CC7E0	0x6CD878	0x12B5A0	0x12B624	176	88	0
5	0x005	MAP_NORTH_TOWN	矿物镇北	0x105FA4	0x086CDFEC	0x086D2E98	0x086D5428	0x086D2F94	0x086D3EBC	0x086D4ED4	0x0812B5A0	0x0812B624	0x6CDFEC	0x6D2E98	0x6D5428	0x6D2F94	0x6D3EBC	0x6D4ED4	0x12B5A0	0x12B624	176	88	0
6	0x006	MAP_ROSE_SQUARE	玫瑰广场	0x105FCC	0x08704D30	0x08709BA8	0x0870B6A8	0x08709D34	0x0870A8A8	0x0870B220	0x08134FB0	0x08134FFC	0x704D30	0x709BA8	0x70B6A8	0x709D34	0x70A8A8	0x70B220	0x134FB0	0x134FFC	173	64	0
7	0x007	MAP_SOUTH_TOWN	矿物镇南	0x105FF4	0x0870B81C	0x087104B4	0x08711C90	0x087105DC	0x08710EB0	0x08711818	0x08134FB0	0x08134FFC	0x70B81C	0x7104B4	0x711C90	0x7105DC	0x710EB0	0x711818	0x134FB0	0x134FFC	173	64	0
8	0x008	MAP_MOTHERS_PEAK	母亲之山顶	0x10601C	0x0868A63C	0x0868D70C	0x0868E1E4	0x0868D7EC	0x0868DF08	0x0868E168	0x0811C1B4	0x0811C1E8	0x68A63C	0x68D70C	0x68E1E4	0x68D7EC	0x68DF08	0x68E168	0x11C1B4	0x11C1E8	64	80	0
9	0x009			0x106044	0x0868E2C8	0x0869089C	0x08691308	0x08690974	0x08691078	0x0869129C	0x0811C1B4	0x0811C1E8	0x68E2C8	0x69089C	0x691308	0x690974	0x691078	0x69129C	0x11C1B4	0x11C1E8	64	80	0
10	0x00A			0x10606C	0x086A4F6C	0x086A88E8	0x086AA074	0x086C57C0	0x086C5C80	0x086C5EB4	0x0812A98C	0x0812A9A0	0x6A4F6C	0x6A88E8	0x6AA074	0x6C57C0	0x6C5C80	0x6C5EB4	0x12A98C	0x12A9A0	64	48	0
11	0x00B			0x106094	0x086AA130	0x086ADA88	0x086AF274	0x086C608C	0x086C6540	0x086C6760	0x0812A98C	0x0812A9A0	0x6AA130	0x6ADA88	0x6AF274	0x6C608C	0x6C6540	0x6C6760	0x12A98C	0x12A9A0	64	48	0
12	0x00C			0x1060BC	0x086A4F6C	0x086A88E8	0x086AA074	0x086A89B4	0x086A9434	0x086A9B2C	0x08121F38	0x08121F5C	0x6A4F6C	0x6A88E8	0x6AA074	0x6A89B4	0x6A9434	0x6A9B2C	0x121F38	0x121F5C	128	64	0
13	0x00D			0x1060E4	0x086AA130	0x086ADA88	0x086AF274	0x086ADB50	0x086AE6DC	0x086AED3C	0x08121F38	0x08121F5C	0x6AA130	0x6ADA88	0x6AF274	0x6ADB50	0x6AE6DC	0x6AED3C	0x121F38	0x121F5C	128	64	0
14	0x00E			0x10610C	0x0867A0E8	0x0867EC24	0x08681E54	0x0867ED1C	0x08680A10	0x0868167C	0x08117CE0	0x08117D10	0x67A0E8	0x67EC24	0x681E54	0x67ED1C	0x680A10	0x68167C	0x117CE0	0x117D10	150	100	0
15	0x00F	MAP_SHOP_INTERIOR	商店室内	0x106134	0x08681F2C	0x08686F2C	0x0868A17C	0x08687024	0x08688DA4	0x08689A0C	0x08117CE0	0x08117D10	0x681F2C	0x686F2C	0x68A17C	0x687024	0x688DA4	0x689A0C	0x117CE0	0x117D10	150	100	0
16	0x010			0x10615C	0x08711DA0	0x08714580	0x08714AD0	0x08714610	0x087147D0	0x08714980	0x08137C2C	0x08137C3C	0x711DA0	0x714580	0x714AD0	0x714610	0x7147D0	0x714980	0x137C2C	0x137C3C	60	60	0
17	0x011			0x106184	0x08714C84	0x08716B38	0x08717018	0x08716BC0	0x08716D24	0x08716ECC	0x08137C2C	0x08137C3C	0x714C84	0x716B38	0x717018	0x716BC0	0x716D24	0x716ECC	0x137C2C	0x137C3C	60	60	0
18	0x012			0x1061AC	0x086D7D88	0x086DAEA8	0x086DAEA8	0x086D7558	0x086D7734	0x086D78A0	0x0812F2A4	0x0812F2D8	0x6D7D88	0x6DAEA8	0x6DAEA8	0x6D7558	0x6D7734	0x6D78A0	0x12F2A4	0x12F2D8	30	28	1
19	0x013			0x1061D4	0x086D7D88	0x086DAEA8	0x086DAEA8	0x086D7988	0x086D7B60	0x086D7C8C	0x0812F634	0x0812F65C	0x6D7D88	0x6DAEA8	0x6DAEA8	0x6D7988	0x6D7B60	0x6D7C8C	0x12F634	0x12F65C	30	28	1
20	0x014			0x1061FC	0x086D7D88	0x086DAEA8	0x086DAEA8	0x08700408	0x087005E0	0x087006E4	0x08132C78	0x08132C98	0x6D7D88	0x6DAEA8	0x6DAEA8	0x700408	0x7005E0	0x7006E4	0x132C78	0x132C98	30	28	1
21	0x015			0x106224	0x086D7D88	0x086DAEA8	0x086DAEA8	0x087007B4	0x087009B4	0x08700A6C	0x08132FE0	0x08132FFC	0x6D7D88	0x6DAEA8	0x6DAEA8	0x7007B4	0x7009B4	0x700A6C	0x132FE0	0x132FFC	30	28	1
22	0x016			0x10624C	0x086B7E7C	0x086BB440	0x086BB440	0x086B6AF4	0x086B6DF4	0x086B6FF4	0x08126B84	0x08126BB4	0x6B7E7C	0x6BB440	0x6BB440	0x6B6AF4	0x6B6DF4	0x6B6FF4	0x126B84	0x126BB4	46	42	1
23	0x017			0x106274	0x086B7E7C	0x086BB440	0x086BB440	0x086B7120	0x086B7428	0x086B772C	0x08127368	0x081273A4	0x6B7E7C	0x6BB440	0x6BB440	0x6B7120	0x6B7428	0x6B772C	0x127368	0x1273A4	46	42	1
24	0x018			0x10629C	0x086B7E7C	0x086BB440	0x086BB440	0x086B7858	0x086B7B54	0x086B7D88	0x08127B68	0x08127B94	0x6B7E7C	0x6BB440	0x6BB440	0x6B7858	0x6B7B54	0x6B7D88	0x127B68	0x127B94	46	42	1
25	0x019			0x1062C4	0x086AFC08	0x086B1314	0x086B1314	0x086B14CC	0x086B1734	0x086B1914	0x0812491C	0x08124964	0x6AFC08	0x6B1314	0x6B1314	0x6B14CC	0x6B1734	0x6B1914	0x12491C	0x124964	36	42	1
