map_id	map_id_hex	map_symbol	map_name_cn	warp_count	warp_scripts	proc_x_range	proc_y_range	entity_x_range	entity_y_range	known_safe_spawn_points	collision_candidate_offset	collision_candidate_size	map_data_entry	map_width	map_height	is_interior	terrain_info	terrain_map	visual_tilemap_candidate	entity_table_candidate	notes
0	0x000	MAP_MOTHERS_HILL	母亲之山	10	38,175,176,228,532,767,873,875,977	360..1176	20..752	360..1176	20..752	s38(1065,432,f0);s175(1176,510,f2);s176(1175,752,f2);s228(360,144,f0);s532(500,20,f0);s767(612,584,f2);s873(900,350,f0);s875(900,350,f0)	0x120BBC	0x80	0x105EDC	128	88	0	0x0811EE68	0x0811EEB0	0x0869B730		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
1	0x001	MAP_BEACH	海滩	25	76,153,409,430,440,691,692,693,783,886,889,891,953,1145,1191,1192	24..385	120..504	24..385	120..504	s76(231,144,f3);s153(212,120,f0);s409(24,280,f3);s430(260,504,f0);s440(84,120,f0);s691(24,280,f3);s691(24,280,f3);s691(24,280,f3)	0x120C3C	0x80	0x105F04	128	88	0	0x0811EE68	0x0811EEB0	0x086A018C		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
2	0x002	MAP_FARM	农场	43	6,37,97,143,167,177,222,358,462,524,573,574,575,576,577,578,579,580,581,582,583,584,585,586	130..752	56..688	130..752	56..688	s6(316,116,f3);s6(316,116,f3);s37(228,120,f0);s37(490,140,f1);s37(130,540,f1);s37(220,220,f1);s97(752,122,f0);s143(300,400,f1)	0x120CBC	0x80	0x105F2C	60	56	0	0x08131AD4	0x08131AFC	0x086FB004		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
3	0x003	MAP_FOREST	森林	6	88,90,166,525,550,874	24..832	24..448	24..832	24..448	s88(24,264,f3);s90(24,448,f3);s166(168,24,f0);s525(832,24,f0);s550(612,248,f0);s874(612,248,f0)	0x120D3C	0x80	0x105F54	60	56	0	0x08131AD4	0x08131AFC	0x086FDB2C		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
4	0x004	MAP_CHURCH_REAR	教堂后院	5	136,142,329,779,815	140..372	115..368	140..372	267..368	s136(252,368,f1);s142(332,368,f1);s329(372,312,f0);s779(140,267,f1);s815(372,312,f0)	0x120DBC	0x80	0x105F7C	176	88	0	0x0812B5A0	0x0812B624	0x086C6920		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
5	0x005	MAP_NORTH_TOWN	矿物镇北	45	24,29,38,46,51,62,72,188,206,238,273,293,306,338,361,389,410,415,526,689,717,731,732,750	104..1292	24..688	104..1292	24..688	s24(688,168,f0);s29(856,168,f0);s38(1232,168,f0);s46(632,496,f0);s51(632,496,f0);s62(200,168,f0);s62(200,168,f0);s62(200,168,f0)	0x120E3C	0x80	0x105FA4	176	88	0	0x0812B5A0	0x0812B624	0x086CDFEC		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
6	0x006	MAP_ROSE_SQUARE	玫瑰广场	20	106,379,527,689,690,691,692,693,756,781,1098,1128,1129,1163,1190,1218,1241,1264,1289	198..456	24..432	180..456	24..432	s106(456,128,f2);s379(220,24,f0);s527(220,432,f1);s689(220,24,f0);s690(220,432,f1);s691(456,128,f2);s692(456,128,f2);s693(456,128,f2)	0x120EBC	0x80	0x105FCC	173	64	0	0x08134FB0	0x08134FFC	0x08704D30		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
7	0x007	MAP_SOUTH_TOWN	矿物镇南	21	36,124,172,178,381,411,519,541,559,560,690,796,876	104..1272	24..496	104..1272	24..496	s36(320,171,f3);s124(572,232,f0);s172(104,496,f1);s178(812,496,f1);s381(104,24,f0);s411(1272,24,f0);s519(296,120,f0);s541(548,106,f0)	0x120F3C	0x80	0x105FF4	173	64	0	0x08134FB0	0x08134FFC	0x0870B81C		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
8	0x008	MAP_MOTHERS_PEAK	母亲之山顶	12	61,93,744,784,932,1128,1242,1243,1306,1318,1319	152..238	70..464	224..249	70..500	s61(236,487,f1);s93(236,464,f1);s744(236,443,f1);s784(230,420,f1);s932(236,500,f1);s1242(236,428,f1)	0x120FBC	0x80	0x10601C	64	80	0	0x0811C1B4	0x0811C1E8	0x0868A63C		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
9	0x009			2	6,165	68..120	124..208	68..120	124..208	s6(68,124,f1);s165(120,208,f1)	0x12103C	0x80	0x106044	64	80	0	0x0811C1B4	0x0811C1E8	0x0868E2C8		MapData decoded from GetMapData table; collision candidate is not yet the verified full movement grid
