script_id	rom_offset	region_symbol	region_source	context_hex
6	0xEAE88	gToolInfo	fomt.map	14 a9 0e 08 3b 00 00 00 1c a9 0e 08 50 a9 0e 08 06 00 00 00 60 a9 0e 08 90 a9 0e 08 43 00 00 00 a0 a9 0e 08
6	0xF0E9C	gUnk_080F0E88	asm/data/data_080F0348.s	02 00 00 00 03 00 00 00 04 00 00 00 05 00 00 00 06 00 00 00 07 00 00 00 08 00 00 00 09 00 00 00 0a 00 00 00
6	0xF17D0	gUnk_080F16D2	asm/data/data_080F0348.s	38 00 31 00 2b 00 25 00 1f 00 19 00 12 00 0c 00 06 00 00 00 fa ff f4 ff ee ff e7 ff e1 ff db ff d5 ff cf ff
6	0xF19E4	gUnk_080F19CC	asm/data/data_080F0348.s	02 00 00 00 03 00 00 00 04 00 00 00 05 00 00 00 06 00 00 00 44 69 61 72 79 00 00 00 52 75 63 6b 73 61 63 6b
6	0xF29C4	gUnk_080F29C0	asm/data/data_080F1A80.s	62 61 64 5f 61 6c 6c 6f 63 00 00 00 b5 dc 03 08 06 00 00 00 cc 29 0f 08 00 00 00 00 e4 29 0f 08 ec 29 0f 08
6	0xF2AFC	gUnk_080F2AF8	asm/data/data_080F1A80.s	62 61 64 5f 61 6c 6c 6f 63 00 00 00 e9 dd 03 08 06 00 00 00 04 2b 0f 08 00 00 00 00 1c 2b 0f 08 24 2b 0f 08
6	0xF2B2C	gUnk_080F2AF8	asm/data/data_080F1A80.s	05 00 00 00 44 2b 0f 08 09 00 00 00 6c 2b 0f 08 06 00 00 00 b4 2b 0f 08 01 00 00 00 e4 2b 0f 08 01 00 00 00
6	0xF2EA8	gUnk_080F2DC0	asm/data/data_080F1A80.s	54 2f 0f 08 05 00 b0 02 a0 00 05 00 7c 2f 0f 08 06 00 00 00 18 01 01 00 ac 2f 0f 08 03 00 54 01 00 00 02 00
6	0xF3660	gUnk_080F35E4	asm/data/data_080F1A80.s	0d 00 00 00 08 37 0f 08 05 00 00 00 70 37 0f 08 06 00 00 00 98 37 0f 08 0f 00 00 00 c8 37 0f 08 0d 00 00 00
6	0xF3678	gUnk_080F35E4	asm/data/data_080F1A80.s	0f 00 00 00 c8 37 0f 08 0d 00 00 00 40 38 0f 08 06 00 00 00 a8 38 0f 08 07 00 00 00 d8 38 0f 08 01 00 00 00
6	0xF430C	gUnk_080F42F0	asm/data/data_080F1A80.s	00 00 00 00 0c 43 0f 08 14 43 0f 08 1c 43 0f 08 06 00 00 00 24 43 0f 08 01 00 00 00 54 43 0f 08 03 00 00 00
6	0xF443C	gUnk_080F43DC	asm/data/data_080F1A80.s	b4 44 0f 08 bc 44 0f 08 0b 00 00 00 c4 44 0f 08 06 00 00 00 1c 45 0f 08 0b 00 00 00 4c 45 0f 08 06 00 00 00
6	0xF444C	gUnk_080F43DC	asm/data/data_080F1A80.s	06 00 00 00 1c 45 0f 08 0b 00 00 00 4c 45 0f 08 06 00 00 00 a4 45 0f 08 03 00 00 00 d4 45 0f 08 01 00 00 00
6	0xF5544	gUnk_080F5540	asm/data/data_080F1A80.s	62 61 64 5f 61 6c 6c 6f 63 00 00 00 21 e6 03 08 06 00 00 00 4c 55 0f 08 00 00 00 00 64 55 0f 08 6c 55 0f 08
6	0xF5CD0	gUnk_080F59CC	asm/data/data_080F1A80.s	06 00 94 00 00 00 00 00 03 00 dc 00 00 00 00 00 06 00 00 00 01 00 00 00 13 00 f0 00 01 00 00 00 14 00 e0 04
6	0xF6200	gUnk_080F61FC	asm/data/data_080F1A80.s	62 61 64 5f 61 6c 6c 6f 63 00 00 00 e9 e8 03 08 06 00 00 00 08 62 0f 08 00 00 00 00 20 62 0f 08 28 62 0f 08
6	0xF6374	gUnk_080F6370	asm/data/data_080F1A80.s	62 61 64 5f 61 6c 6c 6f 63 00 00 00 71 e9 03 08 06 00 00 00 7c 63 0f 08 00 00 00 00 94 63 0f 08 9c 63 0f 08
6	0xF66C8	gUnk_080F66C4	asm/data/data_080F1A80.s	62 61 64 5f 61 6c 6c 6f 63 00 00 00 e5 e9 03 08 06 00 00 00 d0 66 0f 08 00 00 00 00 e8 66 0f 08 f0 66 0f 08
6	0xF7104	gUnk_080F6FF8	asm/data/data_080F1A80.s	78 71 0f 08 03 00 78 02 e8 01 05 00 90 71 0f 08 06 00 00 00 18 01 01 00 00 00 00 00 00 00 a0 00 74 00 01 00
6	0xF7800	gUnk_080F77FC	asm/data/data_080F1A80.s	62 61 64 5f 61 6c 6c 6f 63 00 00 00 45 ec 03 08 06 00 00 00 08 78 0f 08 00 00 00 00 20 78 0f 08 28 78 0f 08
6	0xFD308	gUnk_080FD0A8	asm/data/data_080F9EB8.s	4c 01 70 01 c7 00 e4 20 b0 ce 0f 08 d8 ce 0f 08 06 00 00 00 dc 00 b0 01 ab 28 c7 36 e4 ce 0f 08 28 cf 0f 08
6	0xFD934	gUnk_080FD920	asm/data/data_080F9EB8.s	88 00 00 00 03 00 00 00 04 00 00 00 05 00 00 00 06 00 00 00 07 00 00 00 08 00 00 00 42 6f 6f 6b 73 20 20 20
6	0xFEE04	gUnk_080FED8C	asm/data/data_080F9EB8.s	f8 ec 0f 08 20 4e 00 00 03 00 00 00 c0 ec 0f 08 06 00 00 00 0c ed 0f 08 20 4e 00 00 03 00 00 00 c0 ec 0f 08
6	0xFF7A4	gUnk_080FF6A8	asm/data/data_080F9EB8.s	b8 f5 0f 08 dc f5 0f 08 a8 61 00 00 2c 01 00 00 06 00 00 00 b8 f5 0f 08 f0 f5 0f 08 a8 61 00 00 2c 01 00 00
6	0x102488	gUnk_0810110C	asm/data/data_080F9EB8.s	00 00 00 00 80 00 03 ff 00 01 00 00 00 00 00 00 06 00 00 00 01 00 00 00 00 01 05 ff 00 00 00 00 06 00 08 00
6	0x103B20	gUnk_08103B10	asm/data/data_080F9EB8.s	01 00 00 00 02 00 00 00 04 00 00 00 05 00 00 00 06 00 00 00 07 00 00 00 08 00 00 00 09 00 00 00 0b 00 00 00
6	0x104530	gUnk_081043BC	asm/data/data_080F9EB8.s	30 01 48 00 05 00 00 00 03 00 00 00 f8 01 60 00 06 00 00 00 00 00 00 00 98 00 f0 01 06 00 00 00 00 00 00 00
6	0x10453C	gUnk_081043BC	asm/data/data_080F9EB8.s	f8 01 60 00 06 00 00 00 00 00 00 00 98 00 f0 01 06 00 00 00 00 00 00 00 a8 01 60 02 06 00 00 00 00 00 00 00
6	0x104548	gUnk_081043BC	asm/data/data_080F9EB8.s	98 00 f0 01 06 00 00 00 00 00 00 00 a8 01 60 02 06 00 00 00 00 00 00 00 58 04 a0 01 07 00 00 00 00 00 00 00
6	0x1046D4	gUnk_081043BC	asm/data/data_080F9EB8.s	00 03 a0 00 03 00 00 00 04 00 00 00 20 00 80 00 06 00 00 00 00 00 00 00 98 00 f0 01 06 00 00 00 00 00 00 00
6	0x1046E0	gUnk_081043BC	asm/data/data_080F9EB8.s	20 00 80 00 06 00 00 00 00 00 00 00 98 00 f0 01 06 00 00 00 00 00 00 00 a8 01 60 02 06 00 00 00 00 00 00 00
6	0x1046EC	gUnk_081043BC	asm/data/data_080F9EB8.s	98 00 f0 01 06 00 00 00 00 00 00 00 a8 01 60 02 06 00 00 00 00 00 00 00 58 04 a0 01 07 00 00 00 00 00 00 00
6	0x104F04	gUnk_08104EE7	asm/data/data_080F9EB8.s	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6	0x10557C	gUnk_08104EE7	asm/data/data_080F9EB8.s	00 00 00 00 96 96 00 00 00 06 00 00 00 00 00 00 06 00 00 00 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00 00
6	0x1055E0	gUnk_08104EE7	asm/data/data_080F9EB8.s	50 50 06 00 00 00 00 00 00 06 00 00 00 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9b 9b 00 00
6	0x10560C	gUnk_08104EE7	asm/data/data_080F9EB8.s	00 00 06 00 00 00 00 00 00 06 00 00 00 00 00 00 06 00 00 00 32 32 00 00 00 00 06 00 00 00 00 00 00 00 00 00
6	0x1056E0	gUnk_0810563C	asm/data/data_080F9EB8.s	6e 00 00 00 38 00 00 00 75 00 00 00 3d 00 00 00 06 00 00 00 07 00 00 00 20 00 00 00 3a 00 00 00 ac 00 00 00
6	0x107578	gUnk_0810756C	asm/data/data_080F9EB8.s	30 00 00 00 04 00 00 00 00 00 00 00 01 00 00 00 06 00 00 00 03 00 00 00 02 00 00 00 05 00 00 00 3c 00 00 00
6	0x107DC8	gUnk_08107DBC	asm/data/data_080F9EB8.s	30 00 00 00 04 00 00 00 00 00 00 00 01 00 00 00 06 00 00 00 03 00 00 00 02 00 00 00 05 00 00 00 57 61 6e 6e
6	0x108010	gUnk_08108004	asm/data/data_080F9EB8.s	30 00 00 00 04 00 00 00 00 00 00 00 01 00 00 00 06 00 00 00 03 00 00 00 02 00 00 00 05 00 00 00 44 6f 20 79
6	0x1178B0	gUnk_08117890	asm/data/data_080F9EB8.s	05 00 00 00 0d 00 00 00 02 00 00 00 00 00 00 00 06 00 00 00 01 00 00 00 03 00 00 00 00 00 00 00 07 00 00 00
6	0x1178E8	gUnk_08117890	asm/data/data_080F9EB8.s	0a 00 00 00 01 00 00 00 00 00 00 00 11 00 00 00 06 00 00 00 02 00 00 00 00 00 00 00 05 00 00 00 07 00 00 00
6	0x117904	gUnk_08117890	asm/data/data_080F9EB8.s	05 00 00 00 07 00 00 00 03 00 00 00 00 00 00 00 06 00 00 00 08 00 00 00 04 00 00 00 00 00 00 00 07 00 00 00
6	0x122D30	gUnk_08117BC8	asm/data/data_080F9EB8.s	05 00 00 00 05 05 05 07 07 07 05 05 05 05 05 05 06 00 00 00 00 00 00 06 06 00 00 00 00 00 00 00 00 00 00 00
6	0x122D38	gUnk_08117BC8	asm/data/data_080F9EB8.s	07 07 05 05 05 05 05 05 06 00 00 00 00 00 00 06 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 05 05 05
6	0x122DB0	gUnk_08117BC8	asm/data/data_080F9EB8.s	00 00 00 00 05 05 05 07 07 07 05 05 05 05 05 05 06 00 00 00 00 00 00 06 06 00 00 00 00 00 00 00 00 00 00 00
