index	rom_offset	pointer	pointer_rom_offset	script_id
0	0xF1FC0	0x0803DA7D	0x3DA7D	24
1	0xF1FC8	0x080F1FCC	0xF1FCC	0
2	0xF1FD0	0x080F202C	0xF202C	135209012
3	0xF1FD8	0x080F203C	0xF203C	135209028
4	0xF1FE0	0x080F204C	0xF204C	135209044
5	0xF1FE8	0x080F205C	0xF205C	135209060
6	0xF1FF0	0x080F206C	0xF206C	135209076
7	0xF1FF8	0x080F207C	0xF207C	135209092
8	0xF2000	0x080F208C	0xF208C	135209108
9	0xF2008	0x080F209C	0xF209C	135209124
10	0xF2010	0x080F20AC	0xF20AC	135209140
11	0xF2018	0x080F20BC	0xF20BC	135209156
12	0xF2020	0x080F20CC	0xF20CC	135209172
13	0xF2028	0x080F20DC	0xF20DC	8
14	0xF2030	0x080F20E4	0xF20E4	2
15	0xF2038	0x080F2124	0xF2124	11
16	0xF2040	0x080F2134	0xF2134	8
17	0xF2048	0x080F218C	0xF218C	8
18	0xF2050	0x080F21CC	0xF21CC	4
19	0xF2058	0x080F220C	0xF220C	4
20	0xF2060	0x080F222C	0xF222C	4
21	0xF2068	0x080F224C	0xF224C	4
22	0xF2070	0x080F226C	0xF226C	4
23	0xF2078	0x080F228C	0xF228C	4
24	0xF2080	0x080F22AC	0xF22AC	4
25	0xF2088	0x080F22CC	0xF22CC	4
26	0xF2090	0x080F22EC	0xF22EC	4
27	0xF2098	0x080F230C	0xF230C	4
28	0xF20A0	0x080F232C	0xF232C	1
29	0xF20A8	0x080F234C	0xF234C	5
30	0xF20B0	0x080F2354	0xF2354	4
31	0xF20B8	0x080F237C	0xF237C	1
32	0xF20C0	0x080F239C	0xF239C	8
33	0xF20C8	0x080F23A4	0xF23A4	2
34	0xF20D0	0x080F23E4	0xF23E4	3
35	0xF20D8	0x080F23F4	0xF23F4	1
36	0xF20E0	0x080F240C	0xF240C	0
37	0xF20E8	0x080F2414	0xF2414	60
38	0xF20F0	0x080F2420	0xF2420	98
39	0xF20F8	0x080F242C	0xF242C	113
40	0xF2100	0x080F2438	0xF2438	240
41	0xF2108	0x080F2444	0xF2444	256
42	0xF2110	0x080F2450	0xF2450	293
43	0xF2118	0x080F2414	0xF2414	780
44	0xF2120	0x080F245C	0xF245C	0
45	0xF2128	0x080F2414	0xF2414	780
46	0xF2130	0x080F245C	0xF245C	0
47	0xF2138	0x080F2414	0xF2414	180
48	0xF2140	0x080F2468	0xF2468	227
49	0xF2148	0x080F2474	0xF2474	251
50	0xF2150	0x080F2480	0xF2480	421
51	0xF2158	0x080F248C	0xF248C	446
52	0xF2160	0x080F2498	0xF2498	462
53	0xF2168	0x080F24A4	0xF24A4	600
54	0xF2170	0x080F24B0	0xF24B0	608
