script_id	script	line	map_id	map_name	proc_x	proc_y	player_line	entity_id	entity_x	entity_y	facing	has_player_position	source
6	script_6.mary	43	9		68	124	44	0	68	124	1	yes	scripts/script_6.mary
6	script_6.mary	70	2	MAP_FARM	316	116	71	0	316	116	3	yes	scripts/script_6.mary
6	script_6.mary	119	2	MAP_FARM	316	116	120	0	316	116	3	yes	scripts/script_6.mary
16	script_16.mary	25	15	MAP_SHOP_INTERIOR	145	275	27	0	145	274	1	yes	scripts/script_16.mary
20	script_20.mary	26	15	MAP_SHOP_INTERIOR	184	111	28	0	184	258	1	yes	scripts/script_20.mary
24	script_24.mary	37	15	MAP_SHOP_INTERIOR	144	255	39	0	144	279	1	yes	scripts/script_24.mary
24	script_24.mary	129	33		136	164	131	0	103	167	1	yes	scripts/script_24.mary
24	script_24.mary	231	16		198	252	233	0	160	240	3	yes	scripts/script_24.mary
24	script_24.mary	315	5	MAP_NORTH_TOWN	688	168	316	0	688	168	0	yes	scripts/script_24.mary
29	script_29.mary	52	15	MAP_SHOP_INTERIOR	100	95	54	0	88	200	1	yes	scripts/script_29.mary
29	script_29.mary	292	16		160	196	294	0	134	201	3	yes	scripts/script_29.mary
29	script_29.mary	339	19		241	306	343	19	311	244	3	no	scripts/script_29.mary
29	script_29.mary	408	5	MAP_NORTH_TOWN	856	168	409	0	856	168	0	yes	scripts/script_29.mary
33	script_33.mary	8	29	MAP_PLAYER_HOUSE	331	148	10	0	331	148	2	yes	scripts/script_33.mary
34	script_34.mary	8	12		184	160	10	0	168	152	0	yes	scripts/script_34.mary
35	script_35.mary	22	29	MAP_PLAYER_HOUSE	303	148	24	0	303	148	3	yes	scripts/script_35.mary
36	script_36.mary	23	7	MAP_SOUTH_TOWN	471	171	25	0	320	171	3	yes	scripts/script_36.mary
37	script_37.mary	14	2	MAP_FARM	228	160	16	0	228	120	0	yes	scripts/script_37.mary
37	script_37.mary	75	2	MAP_FARM	490	140	77	0	490	140	1	yes	scripts/script_37.mary
37	script_37.mary	94	2	MAP_FARM	130	540	96	0	130	540	1	yes	scripts/script_37.mary
37	script_37.mary	117	2	MAP_FARM	228	90	119	0	220	220	1	yes	scripts/script_37.mary
38	script_38.mary	51	12		184	160	53	0	184	272	1	yes	scripts/script_38.mary
38	script_38.mary	210	0	MAP_MOTHERS_HILL	1016	432	212	0	1065	432	0	yes	scripts/script_38.mary
38	script_38.mary	482	5	MAP_NORTH_TOWN	1232	168	483	0	1232	168	0	yes	scripts/script_38.mary
39	script_39.mary	35	10		140	95	37	0	120	216	1	yes	scripts/script_39.mary
43	script_43.mary	8	29	MAP_PLAYER_HOUSE	331	148	10	0	331	148	2	yes	scripts/script_43.mary
44	script_44.mary	8	12		184	160	9	0	168	152	0	yes	scripts/script_44.mary
45	script_45.mary	23	29	MAP_PLAYER_HOUSE	303	148	25	0	303	148	3	yes	scripts/script_45.mary
46	script_46.mary	36	21		184	256	38	0	184	280	1	yes	scripts/script_46.mary
46	script_46.mary	149	21		184	139	151	0	184	139	0	yes	scripts/script_46.mary
46	script_46.mary	223	21		184	139	225	0	184	139	0	yes	scripts/script_46.mary
46	script_46.mary	298	5	MAP_NORTH_TOWN	632	496	299	0	632	496	0	yes	scripts/script_46.mary
49	script_49.mary	14	23		276	116	16	0	276	248	1	yes	scripts/script_49.mary
51	script_51.mary	38	21		120	128	40	0	136	235	1	yes	scripts/script_51.mary
51	script_51.mary	149	19		250	260	151	0	304	232	0	yes	scripts/script_51.mary
51	script_51.mary	246	22		176	111	248	0	176	111	1	yes	scripts/script_51.mary
51	script_51.mary	327	5	MAP_NORTH_TOWN	632	496	328	0	632	496	0	yes	scripts/script_51.mary
52	script_52.mary	26	21		248	116	28	0	315	248	1	yes	scripts/script_52.mary
54	script_54.mary	8	29	MAP_PLAYER_HOUSE	331	148	10	0	331	148	2	yes	scripts/script_54.mary
55	script_55.mary	8	12		184	160	9	0	168	152	0	yes	scripts/script_55.mary
56	script_56.mary	22	29	MAP_PLAYER_HOUSE	303	148	24	0	303	148	3	yes	scripts/script_56.mary
57	script_57.mary	18	24		120	144	20	0	120	208	1	yes	scripts/script_57.mary
59	script_59.mary	20	24		120	76	22	0	120	144	1	yes	scripts/script_59.mary
61	script_61.mary	21	8	MAP_MOTHERS_PEAK	152	380	23	0	236	487	1	yes	scripts/script_61.mary
62	script_62.mary	43	26		120	80	45	0	120	208	1	yes	scripts/script_62.mary
62	script_62.mary	159	27		120	80	161	0	128	104	2	yes	scripts/script_62.mary
62	script_62.mary	203	26		120	80	205	0	128	96	1	yes	scripts/script_62.mary
62	script_62.mary	265	5	MAP_NORTH_TOWN	200	168	266	0	200	168	0	yes	scripts/script_62.mary
62	script_62.mary	349	5	MAP_NORTH_TOWN	200	168	350	0	200	168	0	yes	scripts/script_62.mary
62	script_62.mary	392	5	MAP_NORTH_TOWN	200	168	393	0	200	168	0	yes	scripts/script_62.mary
63	script_63.mary	8	29	MAP_PLAYER_HOUSE	331	148	10	0	331	148	2	yes	scripts/script_63.mary
64	script_64.mary	8	12		184	160	9	0	168	152	0	yes	scripts/script_64.mary
65	script_65.mary	19	29	MAP_PLAYER_HOUSE	303	148	21	0	303	148	3	yes	scripts/script_65.mary
66	script_66.mary	33	19		120	140	35	0	120	272	1	yes	scripts/script_66.mary
69	script_69.mary	26	19		136	107	28	0	136	256	1	yes	scripts/script_69.mary
69	script_69.mary	86	19		232	124	88	0	184	128	3	yes	scripts/script_69.mary
69	script_69.mary	181	19		144	144	183	0	144	144	2	yes	scripts/script_69.mary
72	script_72.mary	35	14		120	104	37	0	120	104	1	yes	scripts/script_72.mary
72	script_72.mary	165	5	MAP_NORTH_TOWN	1264	216	167	0	1128	216	3	yes	scripts/script_72.mary
72	script_72.mary	216	14		120	80	218	0	120	120	1	yes	scripts/script_72.mary
76	script_76.mary	15	1	MAP_BEACH	385	144	17	0	231	144	3	yes	scripts/script_76.mary
77	script_77.mary	8	29	MAP_PLAYER_HOUSE	331	148	10	0	331	148	2	yes	scripts/script_77.mary
78	script_78.mary	8	12		184	160	9	0	168	152	0	yes	scripts/script_78.mary
79	script_79.mary	18	29	MAP_PLAYER_HOUSE	303	148	20	0	303	148	3	yes	scripts/script_79.mary
88	script_88.mary	6	3	MAP_FOREST	24	264	7	0	24	264	3	yes	scripts/script_88.mary
89	script_89.mary	9	52		120	192	10	0	120	192	1	yes	scripts/script_89.mary
90	script_90.mary	15	3	MAP_FOREST	24	448	16	0	24	448	3	yes	scripts/script_90.mary
91	script_91.mary	16	18		120	208	17	0	120	208	1	yes	scripts/script_91.mary
92	script_92.mary	16	308		120	192	17	0	120	192	1	yes	scripts/script_92.mary
93	script_93.mary	16	8	MAP_MOTHERS_PEAK	236	464	17	0	236	464	1	yes	scripts/script_93.mary
97	script_97.mary	8	2	MAP_FARM	752	122	9	0	752	122	0	yes	scripts/script_97.mary
105	script_105.mary	51	13		120	208	52	0	120	208	1	yes	scripts/script_105.mary
106	script_106.mary	92	6	MAP_ROSE_SQUARE	456	128	93	0	456	128	2	yes	scripts/script_106.mary
107	script_107.mary	89	35		120	208	90	0	120	208	1	yes	scripts/script_107.mary
107	script_107.mary	97	35		120	208	98	0	120	208	1	yes	scripts/script_107.mary
108	script_108.mary	34	36		120	208	35	0	120	208	1	yes	scripts/script_108.mary
111	script_111.mary	8	29	MAP_PLAYER_HOUSE	120	208	9	0	220	88	0	yes	scripts/script_111.mary
112	script_112.mary	8	29	MAP_PLAYER_HOUSE	160	24	9	0	160	24	0	yes	scripts/script_112.mary
113	script_113.mary	8	29	MAP_PLAYER_HOUSE	120	208	9	0	220	104	1	yes	scripts/script_113.mary
114	script_114.mary	8	29	MAP_PLAYER_HOUSE	120	208	9	0	220	88	0	yes	scripts/script_114.mary
115	script_115.mary	8	29	MAP_PLAYER_HOUSE	120	208	9	0	220	104	1	yes	scripts/script_115.mary
123	script_123.mary	33	11		24	96	34	0	24	96	1	yes	scripts/script_123.mary
124	script_124.mary	67	7	MAP_SOUTH_TOWN	572	232	68	0	572	232	0	yes	scripts/script_124.mary
134	script_134.mary	8	10		24	152	9	0	24	152	0	yes	scripts/script_134.mary
136	script_136.mary	47	4	MAP_CHURCH_REAR	252	368	48	0	252	368	1	yes	scripts/script_136.mary
142	script_142.mary	8	4	MAP_CHURCH_REAR	332	368	9	0	332	368	1	yes	scripts/script_142.mary
143	script_143.mary	63	2	MAP_FARM	300	400	64	0	300	400	1	yes	scripts/script_143.mary
153	script_153.mary	22	1	MAP_BEACH	212	120	23	0	212	120	0	yes	scripts/script_153.mary
165	script_165.mary	9	9		120	208	10	0	120	208	1	yes	scripts/script_165.mary
166	script_166.mary	38	3	MAP_FOREST	168	24	39	0	168	24	0	yes	scripts/script_166.mary
167	script_167.mary	16	63		200	400	17	0	200	400	1	yes	scripts/script_167.mary
168	script_168.mary	41	29	MAP_PLAYER_HOUSE	304	208	42	0	304	208	1	yes	scripts/script_168.mary
169	script_169.mary	18	29	MAP_PLAYER_HOUSE	240	208	19	0	240	208	1	yes	scripts/script_169.mary
170	script_170.mary	18	29	MAP_PLAYER_HOUSE	120	208	19	0	120	208	1	yes	scripts/script_170.mary
171	script_171.mary	17	37		184	272	18	0	184	272	1	yes	scripts/script_171.mary
172	script_172.mary	43	7	MAP_SOUTH_TOWN	104	496	44	0	104	496	1	yes	scripts/script_172.mary
175	script_175.mary	6	0	MAP_MOTHERS_HILL	1176	510	7	0	1176	510	2	yes	scripts/script_175.mary
176	script_176.mary	14	0	MAP_MOTHERS_HILL	1175	752	15	0	1175	752	2	yes	scripts/script_176.mary
177	script_177.mary	8	2	MAP_FARM	264	688	9	0	264	688	1	yes	scripts/script_177.mary
178	script_178.mary	8	7	MAP_SOUTH_TOWN	812	496	9	0	812	496	1	yes	scripts/script_178.mary
179	script_179.mary	44	40		120	208	45	0	120	208	1	yes	scripts/script_179.mary
188	script_188.mary	45	5	MAP_NORTH_TOWN	400	168	46	0	400	168	0	yes	scripts/script_188.mary
201	script_201.mary	14	15	MAP_SHOP_INTERIOR	100	64	15	0	100	64	0	yes	scripts/script_201.mary
205	script_205.mary	37	16		92	320	38	0	92	320	1	yes	scripts/script_205.mary
206	script_206.mary	55	5	MAP_NORTH_TOWN	688	168	56	0	688	168	0	yes	scripts/script_206.mary
222	script_222.mary	8	2	MAP_FARM	144	520	9	0	144	520	0	yes	scripts/script_222.mary
228	script_228.mary	46	0	MAP_MOTHERS_HILL	360	144	47	0	360	144	0	yes	scripts/script_228.mary
237	script_237.mary	25	20		24	64	26	0	24	64	1	yes	scripts/script_237.mary
238	script_238.mary	51	5	MAP_NORTH_TOWN	856	168	52	0	856	168	0	yes	scripts/script_238.mary
250	script_250.mary	8	19		24	152	9	0	24	152	0	yes	scripts/script_250.mary
268	script_268.mary	14	21		92	64	15	0	92	64	0	yes	scripts/script_268.mary
271	script_271.mary	58	22		92	320	59	0	92	320	1	yes	scripts/script_271.mary
272	script_272.mary	40	23		40	248	41	0	40	248	1	yes	scripts/script_272.mary
273	script_273.mary	39	5	MAP_NORTH_TOWN	632	496	40	0	632	496	0	yes	scripts/script_273.mary
284	script_284.mary	20	21		40	96	21	0	40	96	0	yes	scripts/script_284.mary
292	script_292.mary	38	27		216	88	39	0	216	88	1	yes	scripts/script_292.mary
293	script_293.mary	17	5	MAP_NORTH_TOWN	200	168	18	0	200	168	0	yes	scripts/script_293.mary
300	script_300.mary	14	26		216	144	15	0	216	144	0	yes	scripts/script_300.mary
305	script_305.mary	25	25		216	96	26	0	216	96	1	yes	scripts/script_305.mary
306	script_306.mary	34	5	MAP_NORTH_TOWN	276	176	35	0	276	176	0	yes	scripts/script_306.mary
307	script_307.mary	8	24		216	168	9	0	216	168	0	yes	scripts/script_307.mary
329	script_329.mary	8	4	MAP_CHURCH_REAR	372	312	9	0	372	312	0	yes	scripts/script_329.mary
338	script_338.mary	8	5	MAP_NORTH_TOWN	480	168	9	0	480	168	0	yes	scripts/script_338.mary
358	script_358.mary	203	2	MAP_FARM	228	120	204	0	228	120	0	yes	scripts/script_358.mary
360	script_360.mary	10	12		308	64	11	0	308	64	0	yes	scripts/script_360.mary
361	script_361.mary	8	5	MAP_NORTH_TOWN	1292	24	9	0	1292	24	0	yes	scripts/script_361.mary
362	script_362.mary	23	28		120	208	24	0	120	208	1	yes	scripts/script_362.mary
370	script_370.mary	52	12		184	320	53	0	184	320	1	yes	scripts/script_370.mary
371	script_371.mary	66	14		120	208	67	0	120	208	1	yes	scripts/script_371.mary
372	script_372.mary	69	15	MAP_SHOP_INTERIOR	144	320	70	0	144	320	1	yes	scripts/script_372.mary
373	script_373.mary	42	19		184	320	43	0	184	320	1	yes	scripts/script_373.mary
374	script_374.mary	60	21		184	320	61	0	184	320	1	yes	scripts/script_374.mary
375	script_375.mary	64	26		120	208	65	0	120	208	1	yes	scripts/script_375.mary
376	script_376.mary	31	24		120	208	32	0	120	208	1	yes	scripts/script_376.mary
377	script_377.mary	45	30		120	208	46	0	120	208	1	yes	scripts/script_377.mary
378	script_378.mary	52	31		120	208	53	0	120	208	1	yes	scripts/script_378.mary
379	script_379.mary	9	6	MAP_ROSE_SQUARE	220	24	10	0	220	24	0	yes	scripts/script_379.mary
380	script_380.mary	16	33		120	208	17	0	120	208	1	yes	scripts/script_380.mary
381	script_381.mary	8	7	MAP_SOUTH_TOWN	104	24	9	0	104	24	0	yes	scripts/script_381.mary
389	script_389.mary	15	5	MAP_NORTH_TOWN	232	488	16	0	232	488	0	yes	scripts/script_389.mary
390	script_390.mary	37	32		216	64	38	0	216	64	1	yes	scripts/script_390.mary
399	script_399.mary	8	31		216	136	9	0	216	136	0	yes	scripts/script_399.mary
401	script_401.mary	8	43		120	144	9	0	120	144	1	yes	scripts/script_401.mary
409	script_409.mary	335	1	MAP_BEACH	24	280	336	0	24	280	3	yes	scripts/script_409.mary
410	script_410.mary	334	5	MAP_NORTH_TOWN	1260	680	335	0	1260	680	1	yes	scripts/script_410.mary
411	script_411.mary	334	7	MAP_SOUTH_TOWN	1272	24	335	0	1272	24	0	yes	scripts/script_411.mary
415	script_415.mary	15	5	MAP_NORTH_TOWN	316	464	16	0	316	464	0	yes	scripts/script_415.mary
416	script_416.mary	21	34		120	152	22	0	120	152	0	yes	scripts/script_416.mary
422	script_422.mary	8	33		120	80	9	0	120	80	1	yes	scripts/script_422.mary
423	script_423.mary	24	15	MAP_SHOP_INTERIOR	144	320	25	0	144	320	1	yes	scripts/script_423.mary
423	script_423.mary	67	10		120	208	68	0	120	208	1	yes	scripts/script_423.mary
430	script_430.mary	50	1	MAP_BEACH	260	504	51	0	260	504	0	yes	scripts/script_430.mary
440	script_440.mary	24	1	MAP_BEACH	84	120	25	0	84	120	0	yes	scripts/script_440.mary
