referenced_script_id	referenced_has_warp	source_script_id	source_script	line	callee	arg_index	confidence	is_self_reference	context
6	yes	8	script_8.mary	46	Proc011	2	medium	no	Proc011(54 + var_0, 6, 0)
6	yes	13	script_13.mary	49	Proc011	2	medium	no	Proc011(54 + var_0, 6, 0)
6	yes	20	script_20.mary	171	Proc011	2	medium	no	Proc011(19, 6, 0)
6	yes	24	script_24.mary	216	Proc011	2	medium	no	Proc011(19, 6, 0)
6	yes	24	script_24.mary	217	Proc011	2	medium	no	Proc011(0, 6, 0)
6	yes	29	script_29.mary	106	Proc011	2	medium	no	Proc011(17, 6, 0)
6	yes	29	script_29.mary	107	Proc011	2	medium	no	Proc011(18, 6, 0)
6	yes	29	script_29.mary	109	Proc011	2	medium	no	Proc011(19, 6, 0)
6	yes	29	script_29.mary	308	Proc011	2	medium	no	Proc011(0, 6, 0)
6	yes	29	script_29.mary	402	Proc011	2	medium	no	Proc011(20, 6, 0)
6	yes	29	script_29.mary	403	Proc011	2	medium	no	Proc011(0, 6, 0)
6	yes	34	script_34.mary	52	PlayBGM	2	medium	no	PlayBGM(1, 6)
6	yes	38	script_38.mary	290	Proc011	2	medium	no	Proc011(5, 6, 0)
6	yes	38	script_38.mary	297	Proc011	2	medium	no	Proc011(16, 6, 0)
6	yes	38	script_38.mary	416	Proc011	2	medium	no	Proc011(16, 6, 0)
6	yes	39	script_39.mary	140	Proc011	2	medium	no	Proc011(2, 6, 0)
6	yes	44	script_44.mary	52	PlayBGM	2	medium	no	PlayBGM(1, 6)
6	yes	51	script_51.mary	204	Proc011	2	medium	no	Proc011(0, 6, 0)
6	yes	51	script_51.mary	205	Proc011	2	medium	no	Proc011(24, 6, 0)
6	yes	51	script_51.mary	206	Proc011	2	medium	no	Proc011(20, 6, 0)
6	yes	51	script_51.mary	207	Proc011	2	medium	no	Proc011(21, 6, 0)
6	yes	51	script_51.mary	209	Proc011	2	medium	no	Proc011(25, 6, 0)
6	yes	52	script_52.mary	168	Proc011	2	medium	no	Proc011(0, 6, 0)
6	yes	52	script_52.mary	182	Proc011	2	medium	no	Proc011(24, 6, 0)
6	yes	55	script_55.mary	54	PlayBGM	2	medium	no	PlayBGM(1, 6)
6	yes	59	script_59.mary	41	Proc011	2	medium	no	Proc011(12, 6, 0)
6	yes	59	script_59.mary	200	Proc011	2	medium	no	Proc011(12, 6, 0)
6	yes	61	script_61.mary	38	Proc011	2	medium	no	Proc011(12, 6, 0)
6	yes	62	script_62.mary	57	Proc011	2	medium	no	Proc011(10, 6, 0)
6	yes	62	script_62.mary	58	Proc011	2	medium	no	Proc011(11, 6, 0)
6	yes	64	script_64.mary	56	PlayBGM	2	medium	no	PlayBGM(1, 6)
6	yes	72	script_72.mary	254	Proc011	2	medium	no	Proc011(21, 6, 0)
6	yes	76	script_76.mary	27	Proc011	2	medium	no	Proc011(21, 6, 0)
6	yes	78	script_78.mary	54	PlayBGM	2	medium	no	PlayBGM(1, 6)
6	yes	139	script_139.mary	287	Proc080	1	medium	no	Proc080(6, 2)
6	yes	139	script_139.mary	375	Proc080	1	medium	no	Proc080(6, 2)
6	yes	172	script_172.mary	45	GetEntityLocation	1	medium	no	if Func03E(301) == 0 && var_3 == 1 && var_0 == 0 && var_1 == 30 && (var_2 >= 9 && var_2 < 19) && GetEntityLocation(1) != 7 && GetEntityLocation(2) != 7 && GetEntityLocation(3) != 7 && GetEntityLocation(4) != 7 && GetEntityLocation(7) != 7 && GetEntityLocation(6) != 7 && GetEntityLocation(18) != 7
6	yes	215	script_215.mary	12	Func0BA	1	medium	no	if var_0 && !Func0BA(6)
6	yes	215	script_215.mary	15	Proc0BB	1	medium	no	Proc0BB(6)
6	yes	240	script_240.mary	42	Proc0CA	1	medium	no	Proc0CA(6)
6	yes	341	script_341.mary	180	Proc0F7	1	medium	no	Proc0F7(6, 0)
6	yes	356	script_356.mary	61	Func0FE	1	medium	no	var_1 = Func0FE(6)
6	yes	356	script_356.mary	65	Func0FE	1	medium	no	var_1 = Func0FE(6)
6	yes	358	script_358.mary	404	Proc038	1	medium	no	Proc038(6)
